,Id,Country,HDI Rank,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Change in HDI rank 2010-2015,Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015,Gender Development Index value,Gender Development Index Group,Human Development Index (HDI) Female,Human Development Index (HDI) Male,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15–64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people) ","Deaths due to Tuberculosis (per 100,000 people) ","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Inequality-adjusted HDI (IHDI),Inequality-adjusted HDI (IHDI) Over loss(%),Difference from HDI rank,Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015
0,1,Norway,1,1,82,13,"67,614",5,0,1,0,0,0,1,1,1,1,84,80,13,13,"59,800","75,314",40,96,95,61,5,6,1,1,81,0,3,1,39,27,25,2,2,,1,6,,2,3,44,69,,0,,24,43,8,62,65,2,77,4,10,6,5,,,,100,97,-1,1,5,0,5,3,1,2,1,10,1,4,1,26
1,2,Australia,2,1,83,13,"42,822",19,1,0,0,0,0,1,1,1,1,85,81,13,13,"34,271","51,386",31,91,92,59,24,29,1,2,89,2,16,4,38,28,23,2,2,,8,7,2,3,4,,,,0,0,25,33,6,61,65,3,70,6,14,10,,,,,83,85,32,1,8,-1,8,4,1,2,1,18,1,6,1,35
2,3,Switzerland,2,1,83,13,"56,364",7,0,1,0,0,0,1,2,1,1,85,81,13,14,"46,798","66,116",29,96,97,63,8,9,1,1,74,0,6,2,42,22,27,1,2,,2,7,,3,4,,,,0,,25,41,8,66,69,3,74,4,7,7,9,,,98,100,88,15,1,9,-4,8,4,1,6,1,16,1,5,1,32
3,4,Germany,4,1,81,13,"45,000",13,0,1,1,0,1,1,2,1,1,83,79,13,14,"35,878","54,440",37,96,97,55,81,79,0,0,75,3,53,17,46,20,32,1,1,,2,3,1,3,4,,,,0,,24,39,9,58,60,1,70,5,7,6,6,,,98,100,88,10,1,7,-1,7,4,1,3,1,15,1,5,1,30
4,5,Denmark,5,1,80,13,"44,519",13,2,1,1,0,1,1,2,1,1,82,79,13,13,"36,857","52,293",37,89,99,58,6,6,0,0,88,0,4,1,42,26,30,2,2,,4,10,,3,4,,,,0,,23,35,9,58,62,2,78,6,11,6,5,,,126,100,96,11,1,7,-2,7,4,1,3,1,14,1,5,1,29
5,6,Singapore,5,1,83,12,"78,162",-3,0,1,1,0,1,1,1,1,1,86,80,11,12,"60,787","96,001",24,76,82,58,6,6,3,2,100,0,4,1,40,21,16,1,1,,2,5,4,2,3,39,71,,1,,25,20,2,65,67,,71,3,7,19,9,,,105,0,82,1,,,,,3,1,,,,,,,
6,7,Netherlands,7,1,82,12,"46,326",8,-2,1,0,0,0,1,3,1,1,84,80,12,12,"30,117","62,773",36,86,90,58,17,18,1,0,91,1,11,3,43,25,28,2,2,,2,4,,3,4,,,,0,,24,29,10,60,64,2,75,6,9,5,13,,,112,100,93,7,1,7,2,7,4,1,4,1,12,1,4,1,28
7,8,Ireland,8,1,81,12,"43,798",11,1,1,1,0,1,1,1,1,1,83,79,13,12,"33,497","54,135",20,87,82,52,5,5,2,0,63,0,3,1,37,34,20,2,2,,2,7,,3,4,,,,0,,23,27,5,54,60,6,75,10,21,15,13,,,182,91,80,-2,1,8,-2,8,4,1,3,1,16,1,5,1,33
8,9,Iceland,9,1,83,12,"37,065",20,7,1,0,1,1,1,2,1,1,84,81,12,13,"30,530","43,576",41,100,97,71,0,0,1,1,94,0,0,0,36,31,21,2,2,,4,10,,2,2,39,67,,0,,25,35,7,71,74,4,77,4,9,6,9,,,90,100,98,6,1,6,6,6,3,1,3,1,12,1,4,1,27
9,10,Canada,10,1,82,13,"42,582",12,1,0,0,0,0,1,1,1,1,84,80,13,13,"33,288","52,026",28,100,100,61,36,40,1,1,82,2,,6,41,24,24,2,2,,2,5,,4,5,,,,0,,25,21,7,61,66,2,78,7,13,13,,,,105,98,89,8,1,9,-2,9,5,1,4,1,17,1,6,1,34
